件数目,バッチ当たりの登録合計時間,インデックスの削除時間,インデックスの作成時間,トランザクション開始時間,インザート時間,インザートコミット時間,インデックス作成コミット時間,合計経過時間
5400000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間04分39秒
5500000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間04分45秒
5600000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間04分51秒
5700000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間04分57秒
5800000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間05分04秒
5900000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間05分10秒
6000000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間05分16秒
6100000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間05分23秒
6200000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間05分29秒
6300000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間05分35秒
6400000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間05分42秒
6500000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間05分49秒
6600000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間05分56秒
6700000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間06分03秒
6800000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間06分10秒
6900000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間06分17秒
7000000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間06分24秒
7100000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間06分31秒
7200000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間06分39秒
7300000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間06分45秒
7400000,00時間00分34秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分32秒,00時間00分01秒,00時間00分00秒,00時間07分19秒
7500000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間07分26秒
7600000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間07分33秒
7700000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分06秒,00時間00分00秒,00時間07分44秒
7800000,00時間00分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分11秒,00時間00分02秒,00時間00分00秒,00時間07分58秒
7900000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間08分05秒
8000000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間08分13秒
8100000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間08分19秒
8200000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間08分26秒
8300000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間08分33秒
8400000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間08分40秒
8500000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間08分48秒
8600000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間08分54秒
8700000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分01秒,00時間00分00秒,00時間09分03秒
8800000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間09分10秒
8900000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間09分17秒
9000000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間09分24秒
9100000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間09分32秒
9200000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間09分39秒
9300000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間09分47秒
9400000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間09分55秒
9500000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間10分03秒
9600000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間10分10秒
9700000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間10分18秒
9800000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間10分26秒
9900000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間10分34秒
10000000,00時間00分34秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分32秒,00時間00分01秒,00時間00分00秒,00時間11分08秒
10100000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間11分16秒
10200000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分03秒,00時間00分00秒,00時間11分25秒
10300000,00時間00分18秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分17秒,00時間00分01秒,00時間00分00秒,00時間11分43秒
10400000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間11分51秒
10500000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間11分59秒
10600000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間12分06秒
10700000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間12分15秒
10800000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間12分23秒
10900000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間12分30秒
11000000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間12分38秒
11100000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間12分45秒
11200000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間12分52秒
11300000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間13分00秒
11400000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間13分09秒
11500000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間13分17秒
11600000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間13分26秒
11700000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間13分34秒
11800000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間13分42秒
11900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間13分51秒
12000000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分03秒,00時間00分00秒,00時間14分00秒
12100000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間14分09秒
12200000,00時間00分34秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分01秒,00時間00分00秒,00時間14分43秒
12300000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間14分51秒
12400000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分08秒,00時間00分00秒,00時間15分07秒
12500000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分01秒,00時間00分00秒,00時間15分17秒
12600000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間15分25秒
12700000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間15分33秒
12800000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間15分41秒
12900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間15分50秒
13000000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間15分58秒
13100000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間16分07秒
13200000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間16分16秒
13300000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間16分24秒
13400000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間16分33秒
13500000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分08秒,00時間00分00秒,00時間16分50秒
13600000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分02秒,00時間00分00秒,00時間17分01秒
13700000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間17分09秒
13800000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間17分18秒
13900000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間17分25秒
14000000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間17分34秒
14100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,00時間18分11秒
14200000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間18分19秒
