件数目,バッチ当たりの登録合計時間,インデックスの削除時間,インデックスの作成時間,トランザクション開始時間,インザート時間,インザートコミット時間,インデックス作成コミット時間,合計経過時間
36300000,00時間00分15秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分13秒,00時間00分01秒,00時間00分00秒,01時間27分17秒
36400000,00時間00分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分11秒,00時間00分02秒,00時間00分00秒,01時間27分32秒
36500000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,01時間27分41秒
36600000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分37秒,00時間00分00秒,00時間00分00秒,01時間28分19秒
36700000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間28分30秒
36800000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間28分38秒
36900000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分00秒,00時間00分00秒,01時間28分59秒
37000000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,01時間29分08秒
37100000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間29分17秒
37200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間29分53秒
37300000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分04秒,00時間00分00秒,01時間30分03秒
37400000,00時間00分18秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分10秒,00時間00分00秒,01時間30分22秒
37500000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分01秒,00時間00分00秒,01時間30分31秒
37600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分00秒,00時間00分00秒,01時間30分41秒
37700000,00時間00分49秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分00秒,00時間00分00秒,01時間31分31秒
37800000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分00秒,00時間00分00秒,01時間31分38秒
37900000,00時間00分13秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分06秒,00時間00分00秒,01時間31分51秒
38000000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分14秒,00時間00分02秒,00時間00分00秒,01時間32分08秒
38100000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間32分18秒
38200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間32分55秒
38300000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分00秒,00時間00分00秒,01時間33分04秒
38400000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分12秒,00時間00分09秒,00時間00分00秒,01時間33分26秒
38500000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間33分34秒
38600000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,01時間34分12秒
38700000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分00秒,00時間00分00秒,01時間34分20秒
38800000,00時間00分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分08秒,00時間00分00秒,01時間34分34秒
38900000,00時間00分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分12秒,00時間00分01秒,00時間00分00秒,01時間34分49秒
39000000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間34分57秒
39100000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,01時間35分07秒
39200000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間35分43秒
39300000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間35分51秒
39400000,00時間00分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分07秒,00時間00分00秒,01時間36分05秒
39500000,00時間00分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分14秒,00時間00分00秒,00時間00分00秒,01時間36分20秒
39600000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分04秒,00時間00分00秒,01時間36分32秒
39700000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間37分08秒
39800000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,01時間37分17秒
39900000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,01時間37分55秒
40000000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間38分06秒
40100000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分10秒,00時間00分10秒,00時間00分00秒,01時間38分28秒
40200000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間38分38秒
40300000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間38分48秒
40400000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間39分25秒
40500000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間40分02秒
40600000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間40分12秒
40700000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分04秒,00時間00分00秒,01時間40分23秒
40800000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分17秒,00時間00分03秒,00時間00分00秒,01時間40分44秒
40900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間40分52秒
41000000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,01時間41分27秒
41100000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,01時間42分03秒
41200000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分01秒,00時間00分00秒,01時間42分25秒
41300000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,01時間43分04秒
41400000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分02秒,00時間00分00秒,01時間43分55秒
41500000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間44分31秒
41600000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間45分09秒
41700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間45分46秒
41800000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,01時間46分23秒
41900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間47分01秒
42000000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,01時間47分37秒
42100000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,01時間48分13秒
42200000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間48分50秒
42300000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間49分26秒
42400000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,01時間50分02秒
42500000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,01時間50分40秒
42600000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間51分17秒
42700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,01時間51分54秒
42800000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,01時間52分30秒
42900000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,01時間53分06秒
43000000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間53分41秒
43100000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間54分17秒
43200000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,01時間54分55秒
43300000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,01時間55分32秒
43400000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,01時間56分08秒
43500000,00時間01分04秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間01分02秒,00時間00分02秒,00時間00分00秒,01時間57分12秒
43600000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間57分23秒
43700000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間57分33秒
43800000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分11秒,00時間00分09秒,00時間00分00秒,01時間57分55秒
43900000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間58分31秒
44000000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分01秒,00時間00分00秒,01時間58分40秒
44100000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分03秒,00時間00分00秒,01時間59分19秒
44200000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,01時間59分57秒
44300000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間00分34秒
44400000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間01分12秒
44500000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,02時間01分48秒
44600000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間02分24秒
44700000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,02時間03分00秒
44800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間03分37秒
44900000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間04分13秒
45000000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間04分21秒
45100000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,02時間04分57秒
45200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間05分33秒
45300000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間06分10秒
45400000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,02時間06分46秒
45500000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間07分24秒
45600000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間08分02秒
45700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間08分39秒
45800000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間09分16秒
45900000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間09分53秒
46000000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間10分28秒
46100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間11分06秒
46200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,02時間11分42秒
46300000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,02時間12分18秒
46400000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間12分54秒
46500000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間13分30秒
46600000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,02時間14分08秒
46700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間14分45秒
46800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間15分21秒
46900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,02時間15分58秒
47000000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分38秒,00時間00分00秒,00時間00分00秒,02時間16分37秒
47100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間17分14秒
47200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間17分50秒
47300000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間18分28秒
47400000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間19分05秒
47500000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分03秒,00時間00分00秒,02時間19分44秒
47600000,00時間00分49秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,02時間20分34秒
47700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間21分11秒
47800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間21分47秒
47900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間22分25秒
48000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間23分03秒
48100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間23分41秒
48200000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分03秒,00時間00分00秒,02時間24分19秒
48300000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,02時間24分55秒
48400000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,02時間25分31秒
48500000,00時間01分18秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間01分17秒,00時間00分01秒,00時間00分00秒,02時間26分49秒
48600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,02時間26分59秒
48700000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,02時間27分10秒
48800000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分16秒,00時間00分05秒,00時間00分00秒,02時間27分31秒
48900000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,02時間27分42秒
49000000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,02時間27分52秒
49100000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間28分29秒
49200000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分01秒,00時間00分00秒,02時間28分51秒
49300000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分04秒,00時間00分00秒,02時間29分30秒
49400000,00時間01分04秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間01分03秒,00時間00分01秒,00時間00分00秒,02時間30分35秒
49500000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間30分43秒
49600000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間30分51秒
49700000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分00秒,00時間00分00秒,02時間31分12秒
49800000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間31分21秒
49900000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分03秒,00時間00分00秒,02時間31分31秒
50000000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分01秒,00時間00分00秒,02時間31分53秒
50100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,02時間32分31秒
50200000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間32分40秒
50300000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分21秒,00時間00分00秒,00時間00分00秒,02時間33分02秒
50400000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間33分10秒
50500000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分02秒,00時間00分00秒,02時間33分20秒
50600000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間33分58秒
50700000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分02秒,00時間00分00秒,02時間34分08秒
50800000,00時間00分24秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分03秒,00時間00分00秒,02時間34分32秒
50900000,00時間01分04秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間01分03秒,00時間00分00秒,00時間00分00秒,02時間35分36秒
51000000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分02秒,00時間00分00秒,02時間35分46秒
51100000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分10秒,00時間00分00秒,02時間36分03秒
51200000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分14秒,00時間00分01秒,00時間00分00秒,02時間36分20秒
51300000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分04秒,00時間00分00秒,02時間36分31秒
51400000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分04秒,00時間00分00秒,02時間36分43秒
51500000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分18秒,00時間00分01秒,00時間00分00秒,02時間37分03秒
51600000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間37分11秒
51700000,00時間00分41秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分34秒,00時間00分00秒,02時間37分53秒
51800000,00時間00分19秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分16秒,00時間00分03秒,00時間00分00秒,02時間38分13秒
51900000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分00秒,00時間00分00秒,02時間38分34秒
52000000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,02時間39分10秒
52100000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間39分19秒
52200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間39分56秒
52300000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,02時間40分06秒
52400000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間40分15秒
52500000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分02秒,00時間00分00秒,02時間40分37秒
52600000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分03秒,00時間00分00秒,02時間40分48秒
52700000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間41分25秒
52800000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分03秒,00時間00分00秒,02時間42分03秒
52900000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分01秒,00時間00分00秒,02時間42分14秒
53000000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分03秒,00時間00分00秒,02時間42分25秒
53100000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分09秒,00時間00分00秒,02時間42分42秒
53200000,00時間00分30秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分27秒,00時間00分03秒,00時間00分00秒,02時間43分13秒
53300000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分01秒,00時間00分00秒,02時間43分23秒
53400000,00時間00分24秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分03秒,00時間00分00秒,02時間43分47秒
53500000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分02秒,00時間00分00秒,02時間43分57秒
53600000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,02時間44分35秒
53700000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,02時間44分44秒
53800000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分10秒,00時間00分00秒,02時間45分01秒
53900000,00時間00分12秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分03秒,00時間00分00秒,02時間45分14秒
54000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分00秒,00時間00分00秒,02時間45分52秒
54100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間46分29秒
54200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分00秒,00時間00分00秒,02時間47分06秒
54300000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,02時間47分43秒
54400000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間48分20秒
54500000,00時間00分52秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分03秒,00時間00分00秒,02時間49分12秒
